,archive_dict,category_dict,click_num,comments_num,creation_num,description,fan_num,like_num,rank,score,url
0,['null'],['null'],['null'],['null'],['null'],['null'],['null'],['null'],['null'],['null'],['null']
1,[{'2018年3月': '1篇'}],['null'],['170'],['3'],['1'],[''],['1'],"['1', '1']",['279万+'],['3'],https://blog.csdn.net/sinat_33654190/
2,"[{'2014年12月': '1篇', '2014年1月': '2篇', '2013年12月': '2篇'}]",[{'研发': '3篇'}],['4856'],['0'],[],[''],['3'],['1'],['173万+'],['57'],https://blog.csdn.net/Adolph_Chou/
3,"[{'2017年7月': '5篇', '2017年6月': '3篇', '2017年5月': '5篇', '2017年4月': '1篇', '2017年1月': '1篇', '2016年12月': '6篇', '2016年11月': '6篇', '2016年10月': '4篇', '2016年9月': '8篇', '2016年8月': '8篇', '2016年7月': '5篇', '2016年6月': '2篇', '2016年5月': '4篇', '2015年11月': '1篇', '2015年8月': '6篇', '2015年7月': '3篇', '2015年6月': '1篇', '2015年5月': '1篇', '2015年4月': '5篇', '2015年3月': '8篇', '2015年2月': '2篇', '2014年12月': '2篇', '2014年11月': '6篇', '2014年10月': '1篇', '2014年9月': '1篇'}]","[{'机器学习': '33篇', '学习资料整理': '13篇', 'c语言': '6篇', 'R语言': '3篇', 'OpenCV': '9篇', '计算机视觉CV': '26篇', 'Linux': '9篇', 'python': '5篇', '工具使用': '6篇', '并行程序设计': '6篇', '深度学习': '33篇', 'Caffe': '9篇', '物体检测': '21篇'}]",['57万+'],['63'],['85'],[''],['380'],['49'],['8405'],['5005'],https://blog.csdn.net/Solomon1558/
4,"[{'2018年11月': '1篇', '2018年10月': '4篇', '2018年9月': '8篇', '2018年5月': '1篇', '2018年4月': '1篇', '2018年2月': '4篇', '2018年1月': '2篇', '2017年12月': '2篇', '2017年11月': '7篇', '2017年7月': '2篇', '2017年6月': '3篇', '2017年5月': '4篇', '2017年4月': '2篇', '2016年10月': '2篇', '2016年9月': '3篇', '2016年8月': '1篇', '2016年6月': '6篇', '2016年5月': '6篇', '2016年4月': '5篇', '2016年3月': '5篇', '2016年2月': '9篇', '2016年1月': '5篇', '2015年12月': '7篇'}]","[{'性能优化': '6篇', '调试技巧': '11篇', 'OpenCV': '20篇', 'ACM': '3篇', '项目管理': '4篇', '心情日记': '3篇', 'Others': '4篇', 'GPU': '3篇', 'android': '1篇', '模式识别': '2篇', 'VR': '2篇', 'caffe': '2篇', 'deep learning': '13篇', 'Computer Vison': '26篇', 'SLAM': '4篇', '基础算法': '29篇'}]",['9万+'],['15'],['33'],[''],['50'],['20'],['4万+'],['1400'],https://blog.csdn.net/u014652390/
5,"[{'2013年9月': '60篇', '2013年8月': '121篇', '2013年7月': '149篇'}]","[{'计算机视觉基础': '15篇', 'linux内核基础': '54篇', 'Haar': '5篇', '数据挖掘基础': '6篇', '模式识别基础': '5篇', 'ARM移植&linux': '43篇', 'vim&vi': '9篇', 'cmake&make': '2篇', '多媒体': '12篇', 'ARM': '47篇', 'opencv': '31篇', 'FIMC': '4篇', 'v4l': '14篇', 'x86/ARM汇编': '25篇', 'ARM程序优化': '1篇', 'ARM/S3C硬件加速': '4篇', 'C/C#/C++': '26篇', 'DM9000': '1篇', 'linuxC': '18篇', 'linux驱动': '1篇', '多线程': '4篇'}]",['28万+'],['6'],['1'],[''],['43'],['4'],['1万+'],['3393'],https://blog.csdn.net/lijiatong1005/
6,"[{'2018年11月': '5篇', '2018年10月': '17篇', '2018年9月': '20篇', '2018年8月': '5篇', '2018年7月': '10篇', '2018年6月': '8篇', '2018年5月': '21篇', '2018年4月': '11篇', '2018年2月': '4篇', '2018年1月': '10篇', '2017年12月': '7篇', '2017年11月': '9篇', '2017年9月': '20篇', '2017年8月': '6篇'}]","[{'机器学习': '12篇', '笔试面试': '3篇', '算法': '38篇', '图像分割算法': '7篇', '模式识别': '1篇', '推荐系统': '1篇', 'tensorflow': '38篇', 'python学习笔记': '6篇', 'pyhton': '26篇', 'python_flask': '1篇', 'GAN': '1篇', 'CUDA': '2篇', 'RNN': '1篇', 'OCR': '1篇', 'opencv': '1篇', 'YOLO': '2篇', '图像检索': '1篇'}]",['6万+'],['9'],['28'],[''],['18'],['18'],['5万+'],['1183'],https://blog.csdn.net/gqixf/
7,"[{'2018年11月': '18篇', '2018年10月': '21篇', '2018年9月': '22篇', '2018年8月': '36篇', '2018年7月': '42篇', '2018年6月': '38篇', '2018年5月': '17篇', '2018年4月': '36篇', '2018年3月': '29篇', '2018年2月': '12篇', '2018年1月': '30篇', '2017年12月': '18篇'}]",['null'],['14万+'],['89'],['2'],['专注大数据、人工智能、移动/互联网、IT科技、电商/金融、数据分析/挖掘等领域的综合信息服务与分享平台。...'],['173'],['61'],['3万+'],['1600'],https://blog.csdn.net/Tw6cy6uKyDea86Z/
8,"[{'2014年2月': '1篇', '2014年1月': '1篇', '2013年12月': '1篇', '2013年10月': '2篇', '2013年9月': '5篇', '2013年8月': '15篇', '2013年7月': '29篇', '2013年6月': '26篇', '2013年5月': '28篇', '2013年4月': '44篇', '2013年3月': '18篇', '2013年2月': '2篇', '2013年1月': '10篇', '2012年12月': '17篇', '2012年11月': '7篇', '2012年10月': '24篇', '2012年8月': '24篇', '2012年7月': '62篇', '2012年6月': '20篇', '2012年5月': '22篇', '2012年4月': '6篇', '2012年3月': '27篇', '2012年2月': '12篇', '2012年1月': '2篇', '2011年12月': '12篇', '2011年11月': '24篇', '2011年10月': '20篇', '2011年9月': '2篇'}]","[{'Machine Learning': '43篇', 'Linux': '125篇', 'Algorithm': '48篇', 'JAVA': '25篇', 'Recommend System': '2篇', 'Python': '65篇', 'Natural Language Process': '15篇', 'perl': '8篇', 'Matrix Laboratory': '1篇', 'Crawler': '17篇', 'Larbin': '3篇', 'Regular Expression': '9篇', 'DataBase': '9篇', 'CPlus': '55篇', 'Interview': '47篇', 'shell': '12篇', 'JavaScript': '6篇', 'Java Web': '7篇', 'Web Knowledge': '5篇', 'Cloud': '4篇', 'Dynamic Programming': '2篇', 'C++': '15篇', 'VIM': '10篇', 'NLP': '26篇', 'DM': '31篇', 'ML': '28篇', 'Data structure': '2篇', 'Eclipse': '4篇', 'DB': '1篇', 'windows': '2篇', 'HTML': '3篇', 'matlab': '1篇'}]",['130万+'],['134'],['32'],[''],['391'],['28'],['2655'],['9860'],https://blog.csdn.net/wangran51/
9,"[{'2015年5月': '1篇', '2014年6月': '3篇', '2014年5月': '1篇', '2014年1月': '2篇', '2013年12月': '2篇', '2013年11月': '5篇', '2013年10月': '1篇', '2013年9月': '1篇', '2013年8月': '1篇', '2013年7月': '4篇', '2013年6月': '1篇', '2013年3月': '1篇', '2012年12月': '1篇', '2012年11月': '1篇', '2012年10月': '1篇', '2012年9月': '1篇', '2012年8月': '6篇'}]","[{'51单片机': '8篇', '独立键盘': '1篇', '秒表': '1篇', '串口通信': '3篇', 'C#': '1篇', '液晶显示': '1篇', '心情': '2篇', 'MATLAB': '4篇', '机械臂仿真': '1篇', '汇编': '1篇', '算法': '3篇', 'avr': '1篇', 'Android': '1篇', 'OpenCV学习': '6篇', 'ROS': '1篇', '机器学习': '3篇', '开发环境': '1篇', 'Python': '1篇', 'latex': '1篇'}]",['8万+'],['17'],['29'],['做一个脱离低级趣味的人'],['40'],['5'],['5万+'],['1197'],https://blog.csdn.net/xmfthu/
